 0      156543.0339280410   1.40625000000000000000     559082264  # 156543.0339280410 = 2 * 3.14159265358979323846264338328 * 6378137 / 256                  ;       1.40625000000000000000 = 360/256
 1       78271.5169640205   0.70312500000000000000     279541132  #  78271.5169640205 = 2 * 3.14159265358979323846264338328 * 6378137 / 512                  ;       0.70312500000000000000 = 360/512
 2       39135.7584820102   0.35156250000000000000     139770566  #                                                                                          ;       0.35156250000000000000 = 360/1024
 3       19567.8792410051   0.17578125000000000000      69885283  #                                                                                          ;       0.17578125000000000000 = 
 4        9783.9396205026   0.08789062500000000000      34942642  #                                                                                          ;       0.08789062500000000000 = 
 5        4891.9698102513   0.04394531250000000000      17471321  #                                                                                          ;       0.04394531250000000000 = 
 6        2445.9849051256   0.02197265625000000000       8735660  #                                                                                          ;       0.02197265625000000000 = 
 7        1222.9924525628   0.01098632812500000000       4367830  #                                                                                          ;       0.01098632812500000000 = 
 8         611.4962262814   0.00549316406250000000       2183915  #                                                                                          ;       0.00549316406250000000 = 
 9         305.7481131407   0.00274658203125000000       1091958  #                                                                                          ;       0.00274658203125000000 = 
10         152.8740565704   0.00137329101562500000        545979  #                                                                                          ;       0.00137329101562500000 = 
11          76.4370282852   0.00068664550781250000        272989  #                                                                                          ;       0.00068664550781250000 = 
12          38.2185141426   0.00034332275390625000        136495  #                                                                                          ;       0.00034332275390625000 = 
13          19.1092570713   0.00017166137695312500         68247  #                                                                                          ;       0.00017166137695312500 = 
14           9.5546285356   0.00008583068847656250         34124  #                                                                                          ;       0.00008583068847656250 = 
15           4.7773142678   0.00004291534423828120         17062  #                                                                                          ;       0.00004291534423828120 = 
16           2.3886571339   0.00002145767211914060          8531  #                                                                                          ;       0.00002145767211914060 = 
17           1.1943285670   0.00001072883605957030          4265  #                                                                                          ;       0.00001072883605957030 = 
18           0.5971642835   0.00000536441802978516          2133  #                                                                                          ;       0.00000536441802978516 = 
19           0.2985821417   0.00000268220901489258          1066  #                                                                                          ;       0.00000268220901489258 = 
20           0.1492910709   0.00000134110450744629           533  #                                                                                          ;       0.00000134110450744629 = 
21           0.0746455354   0.00000067055225372315           267  #                                                                                          ;       0.00000067055225372315 = 
